"ID","Work Item Type","Title 1","Title 2","Title 3","Title 4","Description","Acceptance Criteria","Business Value","Effort","Remaining Work","Activity","Iteration Path","Tags"
"","Epic","[EP-01] Fundação da Plataforma e Catálogo de Atributos","","","","Estabelecer a arquitetura (camadas: App Mobile, API Gateway/Backend, Serviço de Coleta, Motor de Extração IA, Banco de Dados), o ambiente de desenvolvimento, o pipeline CI e o catálogo padrão de atributos técnicos que garante que toda saída tenha o mesmo formato.","Arquitetura documentada (diagrama de componentes alinhado ao modelo ArchiMate da sprint anterior); pipeline CI executando em todo PR; catálogo com ao menos 40 atributos técnicos padronizados com unidade e categoria.","","","","","Ford Challenge","Épico"
"","Feature","","[FT-01] Arquitetura e Ambiente de Desenvolvimento","","","<b>História:</b> Como equipe de desenvolvimento, quero uma arquitetura definida e um ambiente com CI, para construir a solução de forma organizada e segura.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 13 pontos","Dado o repositório do projeto, quando um PR é aberto, então o pipeline compila, executa testes e reporta o resultado.","100","13","","","Ford Challenge","Must"
"","Product Backlog Item","","","[PBI-01] Definir arquitetura da solução e diagrama de componentes","","<b>História de usuário:</b> Como equipe, quero a arquitetura documentada com componentes e responsabilidades, para orientar o desenvolvimento.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 3 pontos<br><b>Depende de (predecessores):</b> Nenhuma<br><b>Bloqueia (sucessores):</b> PBI-02, PBI-03<br><b>Release:</b> Sprint 1","<b>Funcionalidade:</b> Definir arquitetura da solução e diagrama de componentes<br><br><b>Cenário:</b> Diagrama publicado<br><b>Dado</b> que a arquitetura foi modelada no ArchiMate<br><b>Quando</b> a equipe consulta a Wiki do projeto<br><b>Então</b> encontra o diagrama com App Mobile, API, Serviço de Coleta, Motor IA e Banco de Dados e o fluxo de autenticação<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Diagrama e descrição de responsabilidades publicados na Wiki do Azure DevOps.","100","3","","","Ford Challenge\Sprint 1","Must; Arquitetura"
"","Product Backlog Item","","","[PBI-02] Configurar repositório, estratégia de branches e pipeline CI","","<b>História de usuário:</b> Como desenvolvedor, quero um pipeline que valide cada Pull Request, para evitar que código quebrado chegue à main.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-01 Definir arquitetura da solução e diagrama de componentes<br><b>Bloqueia (sucessores):</b> PBI-11, PBI-22<br><b>Release:</b> Sprint 1","<b>Funcionalidade:</b> Configurar repositório, estratégia de branches e pipeline CI<br><br><b>Cenário:</b> PR válido<br><b>Dado</b> um Pull Request com código compilável e testes passando<br><b>Quando</b> o pipeline é executado<br><b>Então</b> o PR fica apto para merge<br><br><b>Cenário:</b> PR com falha<br><b>Dado</b> um Pull Request com teste falhando<br><b>Quando</b> o pipeline é executado<br><b>Então</b> o merge é bloqueado pela branch policy<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Branch policy ativa na main exigindo build verde e 1 revisor.","100","5","","","Ford Challenge\Sprint 1","Must; DevOps"
"","Product Backlog Item","","","[PBI-03] Modelar banco de dados (veículos, atributos, pesquisas, especificações, fontes)","","<b>História de usuário:</b> Como desenvolvedor, quero um modelo de dados normalizado, para armazenar pesquisas e especificações de forma consistente.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-01 Definir arquitetura da solução e diagrama de componentes<br><b>Bloqueia (sucessores):</b> PBI-04, PBI-06, PBI-11, PBI-13<br><b>Release:</b> Sprint 1","<b>Funcionalidade:</b> Modelar banco de dados (veículos, atributos, pesquisas, especificações, fontes)<br><br><b>Cenário:</b> Migração aplicada<br><b>Dado</b> o script de migração do banco<br><b>Quando</b> é executado em um ambiente limpo<br><b>Então</b> as tabelas Veiculo, Atributo, Pesquisa, Especificacao e Fonte são criadas com suas chaves e relacionamentos<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Diagrama ER publicado e migrações versionadas no repositório.","100","5","","","Ford Challenge\Sprint 1","Must; Dados"
"","Feature","","[FT-02] Catálogo Padrão de Atributos Técnicos","","","<b>História:</b> Como analista de inteligência competitiva, quero um catálogo padrão de atributos técnicos, para que todas as pesquisas sejam comparáveis entre si.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 8 pontos","Dado o catálogo, quando consulto um atributo, então vejo nome padrão, categoria, unidade e sinônimos.","100","8","","","Ford Challenge","Must"
"","Product Backlog Item","","","[PBI-04] Cadastrar catálogo padrão de atributos técnicos com unidade e categoria","","<b>História de usuário:</b> Como analista, quero um catálogo com atributos padrão (motor, potência, torque, transmissão, tração, dimensões, capacidades, segurança, conforto), para padronizar a saída.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-03 Modelar banco de dados (veículos, atributos, pesquisas, especificações, fontes)<br><b>Bloqueia (sucessores):</b> PBI-05, PBI-08, PBI-10, PBI-15<br><b>Release:</b> Sprint 1","<b>Funcionalidade:</b> Cadastrar catálogo padrão de atributos técnicos com unidade e categoria<br><br><b>Cenário:</b> Consulta ao catálogo<br><b>Dado</b> que o catálogo foi carregado<br><b>Quando</b> consulto GET /atributos<br><b>Então</b> recebo ao menos 40 atributos, cada um com nome padrão, categoria e unidade<br><br><b>Cenário:</b> Atributo duplicado<br><b>Dado</b> que o atributo 'Potência máxima' já existe<br><b>Quando</b> um administrador tenta cadastrá-lo novamente<br><b>Então</b> recebo 409 Conflict<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Seed do catálogo versionado e coberto por teste.","100","5","","","Ford Challenge\Sprint 1","Must; Dados"
"","Product Backlog Item","","","[PBI-05] Mapear sinônimos de atributos (ex.: 'cv', 'potência', 'hp')","","<b>História de usuário:</b> Como analista, quero que termos diferentes para o mesmo atributo sejam reconhecidos, para não perder dados por variação de nomenclatura.<br><br><b>Prioridade:</b> Necessário (Should have) — agrega valor relevante ao negócio, mas não bloqueia a aceitação<br><b>Esforço (Planning Poker):</b> 3 pontos<br><b>Depende de (predecessores):</b> PBI-04 Cadastrar catálogo padrão de atributos técnicos com unidade e categoria<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Sprint 1","<b>Funcionalidade:</b> Mapear sinônimos de atributos (ex.: 'cv', 'potência', 'hp')<br><br><b>Cenário:</b> Sinônimo reconhecido<br><b>Dado</b> que 'hp' é sinônimo de 'Potência máxima'<br><b>Quando</b> informo o atributo 'hp' na pesquisa<br><b>Então</b> o resultado apresenta o campo padrão 'Potência máxima'<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Tabela de sinônimos com ao menos 3 variações para os 20 atributos mais usados.","50","3","","","Ford Challenge\Sprint 1","Should; Dados"
"","Epic","[EP-02] Segurança e Gestão de Acesso","","","","Garantir que apenas usuários autenticados e autorizados utilizem a ferramenta, com perfis distintos, API protegida e segurança integrada ao pipeline (DevSecOps).","Autenticação JWT com expiração; perfis Analista, Gestor e Administrador; endpoints públicos e protegidos; pipeline com SAST, SCA e secret scanning.","","","","","Ford Challenge","Épico"
"","Feature","","[FT-03] Autenticação e Perfis de Acesso","","","<b>História:</b> Como administrador, quero controlar quem acessa a ferramenta e com qual perfil, para proteger dados estratégicos da Ford.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 13 pontos","Dado um usuário sem token, quando acessa um recurso protegido, então recebe 401; dado um perfil sem permissão, então recebe 403.","100","13","","","Ford Challenge","Must"
"","Product Backlog Item","","","[PBI-11] Cadastro e login com geração e validação de JWT","","<b>História de usuário:</b> Como usuário, quero me autenticar com e-mail e senha, para acessar a ferramenta de forma segura.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 8 pontos<br><b>Depende de (predecessores):</b> PBI-02 Configurar repositório, estratégia de branches e pipeline CI, PBI-03 Modelar banco de dados (veículos, atributos, pesquisas, especificações, fontes)<br><b>Bloqueia (sucessores):</b> PBI-12, PBI-16, PBI-21, PBI-34<br><b>Release:</b> Sprint 2","<b>Funcionalidade:</b> Cadastro e login com geração e validação de JWT<br><br><b>Cenário:</b> Login válido<br><b>Dado</b> um usuário cadastrado<br><b>Quando</b> envio POST /auth/login com credenciais corretas<br><b>Então</b> recebo 200 com um JWT que expira em 1 hora<br><br><b>Cenário:</b> Credenciais inválidas<br><b>Dado</b> um usuário cadastrado<br><b>Quando</b> envio senha incorreta<br><b>Então</b> recebo 401 sem indicar qual campo está errado<br><br><b>Cenário:</b> Token expirado<br><b>Dado</b> um JWT expirado<br><b>Quando</b> acesso GET /pesquisas<br><b>Então</b> recebo 401 'Token expirado'<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Senhas com hash BCrypt; segredo JWT em variável de ambiente/cofre.","100","8","","","Ford Challenge\Sprint 2","Must; Segurança"
"","Product Backlog Item","","","[PBI-12] Controle de acesso por perfil (Analista, Gestor, Administrador)","","<b>História de usuário:</b> Como administrador, quero atribuir perfis aos usuários, para que cada um acesse apenas o que lhe é permitido.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-11 Cadastro e login com geração e validação de JWT<br><b>Bloqueia (sucessores):</b> PBI-23, PBI-33<br><b>Release:</b> Sprint 2","<b>Funcionalidade:</b> Controle de acesso por perfil (Analista, Gestor, Administrador)<br><br><b>Cenário:</b> Analista cria pesquisa<br><b>Dado</b> um usuário com perfil Analista<br><b>Quando</b> cria uma pesquisa<br><b>Então</b> recebe 201<br><br><b>Cenário:</b> Analista tenta gerenciar catálogo<br><b>Dado</b> um usuário com perfil Analista<br><b>Quando</b> envia POST /atributos<br><b>Então</b> recebe 403 Forbidden<br><br><b>Cenário:</b> Admin gerencia usuários<br><b>Dado</b> um usuário com perfil Administrador<br><b>Quando</b> altera o perfil de outro usuário<br><b>Então</b> recebe 200<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Matriz de permissões publicada na Wiki.","100","5","","","Ford Challenge\Sprint 2","Must; Segurança"
"","Feature","","[FT-04] Proteção da API e DevSecOps","","","<b>História:</b> Como responsável por segurança, quero a API protegida contra abuso e o código verificado automaticamente, para reduzir riscos antes do deploy.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 8 pontos","Dado um volume de requisições acima do limite, então a API responde 429; dado um PR com segredo exposto, então o pipeline falha.","100","8","","","Ford Challenge","Must"
"","Product Backlog Item","","","[PBI-21] Hardening da API: rate limit, validação de entrada e padronização de erros","","<b>História de usuário:</b> Como responsável por segurança, quero limitar abusos e validar entradas, para proteger a API contra ataques e dados maliciosos.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 3 pontos<br><b>Depende de (predecessores):</b> PBI-11 Cadastro e login com geração e validação de JWT<br><b>Bloqueia (sucessores):</b> PBI-27<br><b>Release:</b> Sprint 3","<b>Funcionalidade:</b> Hardening da API: rate limit, validação de entrada e padronização de erros<br><br><b>Cenário:</b> Rate limit<br><b>Dado</b> um usuário que fez 60 requisições no último minuto<br><b>Quando</b> faz a 61ª requisição<br><b>Então</b> recebe 429 Too Many Requests<br><br><b>Cenário:</b> Entrada maliciosa<br><b>Dado</b> um campo 'modelo' com script '<script>'<br><b>Quando</b> envio a pesquisa<br><b>Então</b> recebo 400 com erro no formato padrão (RFC 7807)<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Erros padronizados em todos os endpoints.","100","3","","","Ford Challenge\Sprint 3","Must; Segurança"
"","Task","","","","[T-10] Implementar rate limit por usuário/IP (60 req/min)","<b>Esforço estimado:</b> 3 h<br><b>Depende de:</b> Nenhuma<br><b>PBI:</b> PBI-21 Hardening da API: rate limit, validação de entrada e padronização de erros","","","","3","Development","Ford Challenge\Sprint 3","Sprint3; Segurança"
"","Task","","","","[T-11] Validação e sanitização de entrada em todos os DTOs","<b>Esforço estimado:</b> 3 h<br><b>Depende de:</b> Nenhuma<br><b>PBI:</b> PBI-21 Hardening da API: rate limit, validação de entrada e padronização de erros","","","","3","Development","Ford Challenge\Sprint 3","Sprint3; Segurança"
"","Task","","","","[T-12] Padronizar respostas de erro (RFC 7807 Problem Details)","<b>Esforço estimado:</b> 2 h<br><b>Depende de:</b> T-11 Validação e sanitização de entrada em todos os DTOs<br><b>PBI:</b> PBI-21 Hardening da API: rate limit, validação de entrada e padronização de erros","","","","2","Development","Ford Challenge\Sprint 3","Sprint3; Segurança"
"","Product Backlog Item","","","[PBI-22] Pipeline DevSecOps (SAST, SCA, secret scanning e container scan)","","<b>História de usuário:</b> Como equipe, quero verificações de segurança automáticas no pipeline, para detectar vulnerabilidades antes do deploy.<br><br><b>Prioridade:</b> Necessário (Should have) — agrega valor relevante ao negócio, mas não bloqueia a aceitação<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-02 Configurar repositório, estratégia de branches e pipeline CI<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Sprint 3","<b>Funcionalidade:</b> Pipeline DevSecOps (SAST, SCA, secret scanning e container scan)<br><br><b>Cenário:</b> Segredo exposto<br><b>Dado</b> um commit contendo uma chave de API<br><b>Quando</b> o pipeline executa o Gitleaks<br><b>Então</b> o build falha e aponta o arquivo<br><br><b>Cenário:</b> Dependência vulnerável<br><b>Dado</b> uma dependência com CVE crítica<br><b>Quando</b> o pipeline executa o SCA<br><b>Então</b> o build falha com o relatório da vulnerabilidade<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Relatórios de SAST/SCA/Trivy publicados como artefatos do pipeline.","50","5","","","Ford Challenge\Sprint 3","Should; Segurança"
"","Task","","","","[T-13] Adicionar SAST (Semgrep/SonarCloud) ao pipeline","<b>Esforço estimado:</b> 3 h<br><b>Depende de:</b> Nenhuma<br><b>PBI:</b> PBI-22 Pipeline DevSecOps (SAST, SCA, secret scanning e container scan)","","","","3","Deployment","Ford Challenge\Sprint 3","Sprint3; Segurança"
"","Task","","","","[T-14] Habilitar SCA (Dependabot/Snyk) nas dependências da API e do app","<b>Esforço estimado:</b> 2 h<br><b>Depende de:</b> Nenhuma<br><b>PBI:</b> PBI-22 Pipeline DevSecOps (SAST, SCA, secret scanning e container scan)","","","","2","Deployment","Ford Challenge\Sprint 3","Sprint3; Segurança"
"","Task","","","","[T-15] Adicionar secret scanning (Gitleaks) ao pipeline","<b>Esforço estimado:</b> 2 h<br><b>Depende de:</b> Nenhuma<br><b>PBI:</b> PBI-22 Pipeline DevSecOps (SAST, SCA, secret scanning e container scan)","","","","2","Deployment","Ford Challenge\Sprint 3","Sprint3; Segurança"
"","Task","","","","[T-16] Adicionar scan de imagem Docker (Trivy)","<b>Esforço estimado:</b> 2 h<br><b>Depende de:</b> T-13 Adicionar SAST (Semgrep/SonarCloud) ao pipeline<br><b>PBI:</b> PBI-22 Pipeline DevSecOps (SAST, SCA, secret scanning e container scan)","","","","2","Deployment","Ford Challenge\Sprint 3","Sprint3; Segurança"
"","Epic","[EP-03] Pesquisa de Veículos Concorrentes (Entrada)","","","","Permitir que o analista informe, a partir de uma entrada simples, Marca, Modelo e Versão do veículo e defina livremente a lista de equipamentos/atributos técnicos que deseja pesquisar.","Usuário consegue iniciar uma pesquisa informando Marca, Modelo, Versão e uma lista livre de atributos; entradas inválidas são rejeitadas com mensagem clara.","","","","","Ford Challenge","Épico"
"","Feature","","[FT-05] Identificação do Veículo","","","<b>História:</b> Como analista, quero informar Marca, Modelo e Versão de forma simples, para identificar exatamente o veículo concorrente.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 8 pontos","Dado que informo Marca, Modelo e Versão válidos, quando confirmo, então a pesquisa é criada com status 'Em processamento'.","100","8","","","Ford Challenge","Must"
"","Product Backlog Item","","","[PBI-06] Informar Marca, Modelo e Versão para iniciar a pesquisa","","<b>História de usuário:</b> Como analista, quero informar Marca, Modelo e Versão, para identificar o veículo concorrente a ser pesquisado.<br><br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço (Planning Poker):</b> 5 pontos<br><b>Depende de (predecessores):</b> PBI-03 Modelar banco de dados (veículos, atributos, pesquisas, especificações, fontes)<br><b>Bloqueia (sucessores):</b> PBI-07, PBI-08, PBI-13, PBI-17<br><b>Release:</b> Sprint 1","<b>Funcionalidade:</b> Informar Marca, Modelo e Versão para iniciar a pesquisa<br><br><b>Cenário:</b> Entrada válida<br><b>Dado</b> que estou autenticado<br><b>Quando</b> envio POST /pesquisas com marca 'Ford', modelo 'Ranger' e versão 'Raptor'<br><b>Então</b> recebo 201 Created com o id da pesquisa e status 'EM_PROCESSAMENTO'<br><br><b>Cenário:</b> Campo obrigatório ausente<br><b>Dado</b> que estou autenticado<br><b>Quando</b> envio a pesquisa sem a versão<br><b>Então</b> recebo 400 Bad Request informando que 'versao' é obrigatória<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Endpoint documentado no Swagger com exemplos.","100","5","","","Ford Challenge\Sprint 1","Must; API"
"","Product Backlog Item","","","[PBI-07] Sugerir (autocompletar) marcas, modelos e versões","","<b>História de usuário:</b> Como analista, quero sugestões enquanto digito, para evitar erros de digitação na identificação do veículo.<br><br><b>Prioridade:</b> Necessário (Should have) — agrega valor relevante ao negócio, mas não bloqueia a aceitação<br><b>Esforço (Planning Poker):</b> 3 pontos<br><b>Depende de (predecessores):</b> PBI-06 Informar Marca, Modelo e Versão para iniciar a pesquisa<br><b>Bloqueia (sucessores):</b> Nenhum<br><b>Release:</b> Sprint 1","<b>Funcionalidade:</b> Sugerir (autocompletar) marcas, modelos e versões<br><br><b>Cenário:</b> Sugestão de modelo<br><b>Dado</b> que selecionei a marca 'Toyota'<br><b>Quando</b> digito 'Hil'<br><b>Então</b> vejo a sugestão 'Hilux'<br><br><b>Critério de pronto (DoD):</b> Código revisado via Pull Request; testes automatizados passando no pipeline; sem vulnerabilidades críticas/altas no SAST/SCA; critérios de aceite BDD validados pelo PO; documentação (Swagger/README) atualizada; deploy no ambiente de homologação. <b>Específico:</b> Resposta de sugestões em menos de 500 ms (p95).","50","3","","","Ford Challenge\Sprint 1","Should; API"
"","Feature","","[FT-06] Lista Livre de Atributos","","","<b>História:</b> Como analista, quero definir livremente a lista de equipamentos/atributos que desejo pesquisar, para focar no que importa para cada análise.<br><b>Prioridade:</b> Obrigatório (Must have) — requisito do desafio Ford, sem ele a solução não é aceita<br><b>Esforço total:</b> 8 pontos","Dado que adiciono atributos do catálogo ou texto livre, quando envio a pesquisa, então todos os atributos informados aparecem no resultado.","100","8","","","Ford Challenge","Must"
